인덱스,발화,장소,난이도
42,혹시 오늘은 늘어지고 싶다 약간 같은데,living room,ambiguous
43,오늘 잠잘 곳으로 안내해.,bedroom,direct
44,혹시 잠 좀 자고 싶네 ㅠㅠ,bedroom,indirect
45,혹시 생각 정리 좀 하고 싶네 같은데,bedroom,ambiguous
46,지금 운동 공간으로 이동해 왠지!,exercise,direct
47,아 활동적으로 움직이고 싶다 진짜 해야겠다,exercise,indirect
48,움직여야 할 것 같아 조금 해야겠다,exercise,ambiguous
49,오늘 싱크대 있는 데로 가 약간!,kitchen,direct
50,커피 한잔 하고 싶다 왠지 해야겠다,kitchen,indirect
51,음 기분 전환 좀 할까 같은데,kitchen,ambiguous
52,지금 TV 앞에 가고 싶어 진짜 같은데,living room,direct
53,혹시 잠깐 멍 때리고 싶네 진짜 같은데,living room,indirect
54,아 아무것도 안 하고 싶다 진짜,living room,ambiguous
55,오늘 내 방으로 이동해 왠지 좀,bedroom,direct
56,오늘 누워 있고 싶다 조금.,bedroom,indirect
57,음 생각 정리 좀 하고 싶네 조금 같은데,bedroom,ambiguous
58,오늘 운동하러 가자 싶네,exercise,direct
59,음 땀 좀 흘리고 싶다 진짜 같은데,exercise,indirect
60,갑자기 몸이 무거운 느낌이다 조금 해야겠다,exercise,ambiguous
61,지금 부엌 쪽으로 이동하자 약간 해야겠다,kitchen,direct
62,좀 뭔가 만들어 먹고 싶네 조금,kitchen,indirect
63,음 뭔가 하고 싶네 싶네,kitchen,ambiguous
64,아 TV 앞에 가고 싶어 진짜,living room,direct
65,아 오늘은 아무 생각 하기 싫다 조금 같은데,living room,indirect
66,아무것도 안 하고 싶다 진짜 좀,living room,ambiguous
67,조용한 방으로 가줘 조금 싶네,bedroom,direct
68,음 잠 좀 자고 싶네 조금 좀,bedroom,indirect
69,오늘 조용한 데 가고 싶다 조금 싶네,bedroom,ambiguous
70,운동하러 가자 진짜!,exercise,direct
71,너무 오래 앉아 있었네 조금!,exercise,indirect
72,혹시 리프레시하고 싶네 조금 해야겠다,exercise,ambiguous
73,혹시 주방으로 데려다줘 조금.,kitchen,direct
74,갑자기 물 마시고 싶다 왠지 좀,kitchen,indirect
75,음 조금 움직여볼까 진짜 싶네,kitchen,ambiguous
76,음 TV 앞에 가고 싶어 싶네,living room,direct
77,지금 소파에 눕고 싶다 약간 해야겠다,living room,indirect
78,혹시 조용히 있고 싶네 약간 ㅠㅠ,living room,ambiguous
79,혹시 침실로 가줘 약간.,bedroom,direct
80,눈이 감긴다 싶네,bedroom,indirect
81,가만히 있고 싶다 ㅠㅠ,bedroom,ambiguous
82,좀 운동할 수 있는 곳으로 가 약간 좀,exercise,direct
83,좀 운동해야 하는데 조금 ㅠㅠ,exercise,indirect
84,리프레시하고 싶네 조금!,exercise,ambiguous
85,혹시 주방으로 데려다줘 진짜 ㅠㅠ,kitchen,direct
86,오늘 뭔가 만들어 먹고 싶네 진짜 ㅠㅠ,kitchen,indirect
87,음 가볍게 뭐라도 하고 싶다 진짜,kitchen,ambiguous
88,아 편하게 앉을 곳으로 가줘 진짜.,living room,direct
89,음 가만히 앉아 있고 싶다 진짜 같은데,living room,indirect
90,오늘은 늘어지고 싶다 진짜 같은데,living room,ambiguous
91,지금 잠잘 곳으로 안내해 약간 싶네,bedroom,direct
92,음 너무 졸리다 왠지.,bedroom,indirect
93,지금 잠잠한 곳이 좋네 ㅠㅠ,bedroom,ambiguous
94,아 운동할 수 있는 곳으로 가 진짜!,exercise,direct
95,아 가볍게 뛰고 싶네!,exercise,indirect
96,지금 답답해서 움직이고 싶다.,exercise,ambiguous
97,혹시 냉장고 있는 곳으로 가 진짜 싶네,kitchen,direct
98,오늘 간단하게 요기하고 싶어,kitchen,indirect
99,음 뭔가 하고 싶네 진짜.,kitchen,ambiguous
100,TV 있는 데로 이동해 조금 해야겠다,living room,direct
101,혹시 편하게 기대고 싶어 약간 싶네,living room,indirect
102,아 느긋하게 있고 싶어,living room,ambiguous
103,지금 잠잘 곳으로 안내해 진짜 같은데,bedroom,direct
104,잠 좀 자고 싶네.,bedroom,indirect
105,혹시 혼자 있고 싶네 조금 ㅠㅠ,bedroom,ambiguous
106,운동하는 곳으로 가줘 왠지 좀,exercise,direct
107,지금 몸이 찌뿌둥하다 조금!,exercise,indirect
108,움직여야 할 것 같아 왠지 좀,exercise,ambiguous
109,지금 싱크대 있는 데로 가 같은데,kitchen,direct
110,뭔가 만들어 먹고 싶네 조금.,kitchen,indirect
111,아 가볍게 뭐라도 하고 싶다 왠지 같은데,kitchen,ambiguous
112,음 TV 앞에 가고 싶어 왠지 ㅠㅠ,living room,direct
113,음 소파에 눕고 싶다 약간 ㅠㅠ,living room,indirect
114,오늘 느긋하게 있고 싶어 진짜 좀,living room,ambiguous
115,아 자는 곳으로 가 진짜,bedroom,direct
116,몸이 너무 피곤하다 약간 ㅠㅠ,bedroom,indirect
117,아 가만히 있고 싶다!,bedroom,ambiguous
118,음 몸 움직일 곳으로 가줘 조금.,exercise,direct
119,지금 운동해야 하는데 좀,exercise,indirect
120,아 에너지가 부족한 느낌이야 조금 싶네,exercise,ambiguous
121,좀 부엌으로 이동해 왠지.,kitchen,direct
122,음 뭔가 만들어 먹고 싶네 조금 좀,kitchen,indirect
123,갑자기 손 가는 걸 해보고 싶다 약간,kitchen,ambiguous
124,음 소파 있는 곳으로 가 왠지.,living room,direct
125,오늘 오늘은 아무 생각 하기 싫다 조금!,living room,indirect
126,오늘 조용히 있고 싶네 싶네,living room,ambiguous
127,혹시 침실 쪽으로 가자 싶네,bedroom,direct
128,음 누워 있고 싶다 약간 좀,bedroom,indirect
129,아 조용한 분위기가 좋다 진짜 좀,bedroom,ambiguous
130,운동 공간으로 이동해 싶네,exercise,direct
131,땀 좀 흘리고 싶다 왠지 ㅠㅠ,exercise,indirect
132,좀 조금 활동하고 싶네 왠지 같은데,exercise,ambiguous
133,아 주방으로 가줘 조금 좀,kitchen,direct
134,오늘 간단하게 요기하고 싶어 약간 해야겠다,kitchen,indirect
135,오늘 오늘 뭔가 만들어볼까!,kitchen,ambiguous
136,TV 있는 데로 이동해 왠지 ㅠㅠ,living room,direct
137,갑자기 좀 쉬고 싶네 왠지 ㅠㅠ,living room,indirect
138,오늘 잠깐 머리 식히고 싶네 왠지 같은데,living room,ambiguous
139,혹시 침대 있는 방으로 이동해 해야겠다,bedroom,direct
140,좀 너무 졸리다 ㅠㅠ,bedroom,indirect
141,아 오늘은 아무것도 하기 싫다 왠지.,bedroom,ambiguous
142,오늘 운동하러 가자 진짜 싶네,exercise,direct
143,아 체력이 떨어진 느낌이야 진짜 싶네,exercise,indirect
144,음 답답해서 움직이고 싶다 ㅠㅠ,exercise,ambiguous
145,아 냉장고 있는 곳으로 가 왠지 좀,kitchen,direct
146,오늘 컵라면이라도 먹을까 조금 좀,kitchen,indirect
147,아 가볍게 뭐라도 하고 싶다 왠지.,kitchen,ambiguous
148,아 거실로 가줘 왠지.,living room,direct
149,혹시 오늘은 아무 생각 하기 싫다 왠지 해야겠다,living room,indirect
150,지금 오늘 너무 피곤하다 조금 해야겠다,living room,ambiguous
151,좀 침대 앞으로 가 왠지 같은데,bedroom,direct
152,아 잠 좀 자고 싶네 같은데,bedroom,indirect
153,음 오늘은 아무것도 하기 싫다 진짜 같은데,bedroom,ambiguous
154,아 운동할 수 있는 곳으로 가.,exercise,direct
155,오늘 너무 오래 앉아 있었네 약간.,exercise,indirect
156,혹시 가만히 있기 싫다 왠지 해야겠다,exercise,ambiguous
157,지금 싱크대 있는 데로 가 왠지 싶네,kitchen,direct
158,지금 간식 먹고 싶다 진짜!,kitchen,indirect
159,음 조금 움직여볼까!,kitchen,ambiguous
160,거실로 안내해 약간!,living room,direct
161,오늘 가만히 앉아 있고 싶다 약간 ㅠㅠ,living room,indirect
162,아 오늘은 늘어지고 싶다 진짜,living room,ambiguous
163,아 침실로 데려다줘 조금 같은데,bedroom,direct
164,갑자기 잠깐 낮잠 자고 싶다 약간.,bedroom,indirect
165,갑자기 조용한 분위기가 좋다 진짜 같은데,bedroom,ambiguous
166,오늘 운동하러 가자 진짜.,exercise,direct
167,갑자기 체력이 떨어진 느낌이야 진짜,exercise,indirect
168,답답해서 움직이고 싶다 조금 같은데,exercise,ambiguous
169,혹시 싱크대 있는 데로 가 왠지 해야겠다,kitchen,direct
170,지금 커피 한잔 하고 싶다 약간,kitchen,indirect
171,아 뭔가 하고 싶네 진짜 ㅠㅠ,kitchen,ambiguous
172,오늘 TV 앞에 가고 싶어 같은데,living room,direct
173,좀 가만히 앉아 있고 싶다 조금 좀,living room,indirect
174,지금 가볍게 쉬고 싶다 약간,living room,ambiguous
175,아 침대 있는 방으로 이동해 왠지,bedroom,direct
176,갑자기 오늘은 일찍 자야겠다 왠지 싶네,bedroom,indirect
177,갑자기 조용한 분위기가 좋다 ㅠㅠ,bedroom,ambiguous
178,지금 운동하는 곳으로 가줘 약간 같은데,exercise,direct
179,갑자기 몸이 찌뿌둥하다 싶네,exercise,indirect
180,지금 답답해서 움직이고 싶다 왠지 싶네,exercise,ambiguous
181,혹시 부엌으로 이동해 조금.,kitchen,direct
182,지금 물 마시고 싶다 약간 ㅠㅠ,kitchen,indirect
183,음 간단하게 해결할 게 없나 진짜 해야겠다,kitchen,ambiguous
184,갑자기 소파 앞으로 가 싶네,living room,direct
185,음 TV 보고 싶다 조금 싶네,living room,indirect
186,지금 잠깐 머리 식히고 싶네 조금 같은데,living room,ambiguous
187,지금 침대 있는 방으로 이동해 왠지!,bedroom,direct
188,이불 덮고 싶어 진짜 싶네,bedroom,indirect
189,지금 오늘은 쉬어야겠다 ㅠㅠ,bedroom,ambiguous
190,지금 스트레칭할 공간으로 가고 싶어 조금!,exercise,direct
191,갑자기 체력이 떨어진 느낌이야 조금 ㅠㅠ,exercise,indirect
192,리프레시하고 싶네 왠지 해야겠다,exercise,ambiguous
193,혹시 냉장고 있는 곳으로 가 조금 ㅠㅠ,kitchen,direct
194,혹시 냉장고 확인하고 싶다 조금!,kitchen,indirect
195,갑자기 조금 움직여볼까 진짜 같은데,kitchen,ambiguous
196,갑자기 TV 앞에 가고 싶어 진짜 좀,living room,direct
197,좀 소파에 눕고 싶다 싶네,living room,indirect
198,음 한숨 돌리고 싶다 왠지 같은데,living room,ambiguous
199,아 내 방으로 이동해 약간,bedroom,direct
200,오늘 누워 있고 싶다 왠지 해야겠다,bedroom,indirect
201,좀 잠잠한 곳이 좋네 왠지 ㅠㅠ,bedroom,ambiguous
202,아 스트레칭할 공간으로 가고 싶어 왠지 ㅠㅠ,exercise,direct
203,음 몸이 찌뿌둥하다 왠지 싶네,exercise,indirect
204,음 리프레시하고 싶네 조금 해야겠다,exercise,ambiguous
205,아 냉장고 있는 곳으로 가 조금!,kitchen,direct
206,좀 뭐 먹을 거 없나 진짜!,kitchen,indirect
207,갑자기 뭔가 하고 싶네 조금 ㅠㅠ,kitchen,ambiguous
208,혹시 쉬는 공간으로 이동하자 조금 ㅠㅠ,living room,direct
209,휴식이 필요해 조금 ㅠㅠ,living room,indirect
210,갑자기 편한 데 가고 싶어!,living room,ambiguous
211,지금 방으로 가고 싶어 왠지!,bedroom,direct
212,쉬면서 자고 싶어 ㅠㅠ,bedroom,indirect
213,지금 오늘은 아무것도 하기 싫다 약간.,bedroom,ambiguous
214,갑자기 운동하는 곳으로 가줘 진짜!,exercise,direct
215,운동해야 하는데 왠지 ㅠㅠ,exercise,indirect
216,오늘 답답해서 움직이고 싶다 약간 ㅠㅠ,exercise,ambiguous
217,아 부엌에 가고 싶어 진짜!,kitchen,direct
218,지금 커피 한잔 하고 싶다 진짜,kitchen,indirect
219,갑자기 괜히 돌아다니고 싶다 조금 싶네,kitchen,ambiguous
220,아 소파 앞으로 가 왠지!,living room,direct
221,혹시 편하게 기대고 싶어 조금 해야겠다,living room,indirect
222,아 오늘은 늘어지고 싶다 왠지 ㅠㅠ,living room,ambiguous
223,아 방으로 가고 싶어 약간 해야겠다,bedroom,direct
224,음 이불 덮고 싶어 조금!,bedroom,indirect
225,갑자기 오늘은 아무것도 하기 싫다 진짜 ㅠㅠ,bedroom,ambiguous
226,혹시 트레이닝 공간으로 가 왠지 싶네,exercise,direct
227,좀 운동해야 하는데 조금 좀,exercise,indirect
228,혹시 조금 활동하고 싶네 약간 ㅠㅠ,exercise,ambiguous
229,주방 쪽으로 안내해 싶네,kitchen,direct
230,좀 뭔가 만들어 먹고 싶네 진짜.,kitchen,indirect
231,갑자기 뭔가 하고 싶네 조금.,kitchen,ambiguous
232,좀 소파 앞으로 가 해야겠다,living room,direct
233,아 TV 보고 싶다 조금 같은데,living room,indirect
234,갑자기 조용히 있고 싶네 진짜 좀,living room,ambiguous
235,갑자기 침대 있는 방으로 이동해 진짜 같은데,bedroom,direct
236,음 쉬면서 자고 싶어 약간 같은데,bedroom,indirect
237,좀 생각 정리 좀 하고 싶네 왠지.,bedroom,ambiguous
238,운동 공간으로 이동해 조금 같은데,exercise,direct
239,갑자기 가볍게 뛰고 싶네 진짜!,exercise,indirect
240,혹시 기분 전환이 필요해 약간 같은데,exercise,ambiguous
241,갑자기 주방 쪽으로 안내해 약간 ㅠㅠ,kitchen,direct
242,지금 목이 좀 마른데 진짜!,kitchen,indirect
243,지금 손 가는 걸 해보고 싶다 진짜 싶네,kitchen,ambiguous
244,혹시 거실로 가줘 진짜 ㅠㅠ,living room,direct
245,혹시 휴식이 필요해 약간 같은데,living room,indirect
246,지금 한숨 돌리고 싶다 해야겠다,living room,ambiguous
247,갑자기 침대 앞으로 가 ㅠㅠ,bedroom,direct
248,좀 너무 졸리다 약간 좀,bedroom,indirect
249,갑자기 조용한 데 가고 싶다 약간!,bedroom,ambiguous
250,아 헬스하는 데로 가 약간 좀,exercise,direct
251,갑자기 몸이 찌뿌둥하다 싶네,exercise,indirect
252,오늘 뭔가 역동적인 걸 하고 싶다 조금 같은데,exercise,ambiguous
253,음 냉장고 있는 곳으로 가 약간 해야겠다,kitchen,direct
254,음 간식 먹고 싶다 조금!,kitchen,indirect
255,좀 가볍게 뭐라도 하고 싶다 진짜 해야겠다,kitchen,ambiguous
256,쉬는 공간으로 이동하자 ㅠㅠ,living room,direct
257,갑자기 가만히 앉아 있고 싶다 진짜 ㅠㅠ,living room,indirect
258,갑자기 가볍게 쉬고 싶다 같은데,living room,ambiguous
259,혹시 방으로 가고 싶어 약간,bedroom,direct
260,음 이불 덮고 싶어 왠지 해야겠다,bedroom,indirect
261,갑자기 오늘은 쉬어야겠다 조금 ㅠㅠ,bedroom,ambiguous
262,오늘 운동방으로 안내해 약간 ㅠㅠ,exercise,direct
263,너무 오래 앉아 있었네 왠지 ㅠㅠ,exercise,indirect
264,좀 조금 활동하고 싶네 진짜 좀,exercise,ambiguous
265,오늘 냉장고 있는 곳으로 가 조금!,kitchen,direct
266,아 간단하게 요기하고 싶어 같은데,kitchen,indirect
267,지금 조금 움직여볼까 해야겠다,kitchen,ambiguous
268,거실로 가줘 조금,living room,direct
269,오늘 휴식이 필요해 조금.,living room,indirect
270,혹시 조용히 있고 싶네 조금 싶네,living room,ambiguous
271,갑자기 침실 쪽으로 가자 왠지 좀,bedroom,direct
272,지금 잠 좀 자고 싶네 조금 해야겠다,bedroom,indirect
273,좀 잠잠한 곳이 좋네 진짜 같은데,bedroom,ambiguous
274,지금 트레이닝 공간으로 가 약간 해야겠다,exercise,direct
275,음 가볍게 뛰고 싶네 약간!,exercise,indirect
276,움직여야 할 것 같아 조금 싶네,exercise,ambiguous
277,혹시 주방으로 데려다줘 약간 같은데,kitchen,direct
278,혹시 배가 좀 고프네 약간!,kitchen,indirect
279,아 괜히 돌아다니고 싶다 조금 ㅠㅠ,kitchen,ambiguous
280,아 소파 앞으로 가 왠지 싶네,living room,direct
281,혹시 소파에 눕고 싶다.,living room,indirect
282,혹시 편한 데 가고 싶어 약간 ㅠㅠ,living room,ambiguous
283,갑자기 침실로 가줘 조금 같은데,bedroom,direct
284,오늘 잠 좀 자고 싶네 진짜.,bedroom,indirect
285,좀 오늘은 쉬어야겠다 진짜!,bedroom,ambiguous
286,오늘 몸 움직일 곳으로 가줘 약간 같은데,exercise,direct
287,지금 너무 오래 앉아 있었네 왠지,exercise,indirect
288,오늘 기분 전환이 필요해 조금 해야겠다,exercise,ambiguous
289,부엌으로 이동해 진짜,kitchen,direct
290,커피 한잔 하고 싶다 진짜.,kitchen,indirect
291,음 뭔가 하고 싶네 약간 같은데,kitchen,ambiguous
292,좀 거실 쪽으로 가자 약간 ㅠㅠ,living room,direct
293,갑자기 편하게 기대고 싶어,living room,indirect
294,혹시 가볍게 쉬고 싶다 진짜 같은데,living room,ambiguous
295,아 자는 곳으로 가 약간 해야겠다,bedroom,direct
296,혹시 침대 생각난다 싶네,bedroom,indirect
297,갑자기 혼자 있고 싶네 같은데,bedroom,ambiguous
298,아 운동 공간으로 이동해 진짜 ㅠㅠ,exercise,direct
299,아 활동적으로 움직이고 싶다 약간 ㅠㅠ,exercise,indirect
300,아 몸이 무거운 느낌이다 좀,exercise,ambiguous
301,좀 부엌 쪽으로 이동하자 ㅠㅠ,kitchen,direct
302,간단하게 요기하고 싶어 조금 같은데,kitchen,indirect
303,음 기분 전환 좀 할까 약간 좀,kitchen,ambiguous
304,음 거실로 가줘 조금.,living room,direct
305,오늘 편한 분위기가 좋다 약간 같은데,living room,indirect
306,갑자기 느긋하게 있고 싶어 왠지 ㅠㅠ,living room,ambiguous
307,오늘 자는 곳으로 가 진짜,bedroom,direct
308,이불 덮고 싶어.,bedroom,indirect
309,오늘 방해받기 싫다 약간,bedroom,ambiguous
310,혹시 트레이닝 공간으로 가 조금!,exercise,direct
311,아 스트레칭하고 싶다 왠지 좀,exercise,indirect
312,음 조금 활동하고 싶네 진짜,exercise,ambiguous
313,좀 부엌으로 이동해 왠지.,kitchen,direct
314,오늘 간식 먹고 싶다 진짜 같은데,kitchen,indirect
315,아 간단하게 해결할 게 없나 진짜!,kitchen,ambiguous
316,좀 쉬는 공간으로 이동하자 왠지 같은데,living room,direct
317,좀 오늘은 아무 생각 하기 싫다 약간 ㅠㅠ,living room,indirect
318,갑자기 아무것도 안 하고 싶다 조금.,living room,ambiguous
319,갑자기 침대 있는 방으로 이동해 약간 해야겠다,bedroom,direct
320,혹시 눈이 감긴다 진짜 좀,bedroom,indirect
321,좀 가만히 있고 싶다 왠지,bedroom,ambiguous
322,음 트레이닝 공간으로 가 진짜!,exercise,direct
323,갑자기 스트레칭하고 싶다 진짜!,exercise,indirect
324,음 가만히 있기 싫다 조금!,exercise,ambiguous
325,음 주방 쪽으로 안내해 좀,kitchen,direct
326,아 컵라면이라도 먹을까 조금 싶네,kitchen,indirect
327,음 손 가는 걸 해보고 싶다 약간,kitchen,ambiguous
328,오늘 거실로 데려다줘 조금 싶네,living room,direct
329,좀 TV 보고 싶다 약간 좀,living room,indirect
330,혹시 한숨 돌리고 싶다 진짜.,living room,ambiguous
331,혹시 침실 쪽으로 가자 약간 좀,bedroom,direct
332,지금 누워 있고 싶다 약간 좀,bedroom,indirect
333,오늘 혼자 있고 싶네 조금 ㅠㅠ,bedroom,ambiguous
334,갑자기 운동할 수 있는 곳으로 가 약간,exercise,direct
335,땀 좀 흘리고 싶다 약간 해야겠다,exercise,indirect
336,아 움직여야 할 것 같아 조금 좀,exercise,ambiguous
337,부엌에 가고 싶어 약간 해야겠다,kitchen,direct
338,간단하게 요기하고 싶어 같은데,kitchen,indirect
339,아 손 가는 걸 해보고 싶다 진짜.,kitchen,ambiguous
340,갑자기 거실 쪽으로 가자 약간,living room,direct
341,아 편한 분위기가 좋다!,living room,indirect
342,조용히 있고 싶네.,living room,ambiguous
343,갑자기 침실 쪽으로 가자 진짜 같은데,bedroom,direct
344,오늘 누워 있고 싶다 진짜.,bedroom,indirect
345,좀 오늘은 아무것도 하기 싫다 약간 싶네,bedroom,ambiguous
346,지금 몸 움직일 곳으로 가줘 왠지,exercise,direct
347,아 활동적으로 움직이고 싶다 약간 ㅠㅠ,exercise,indirect
348,아 조금 활동하고 싶네 진짜,exercise,ambiguous
349,아 요리하는 공간으로 가줘 조금 해야겠다,kitchen,direct
350,갑자기 뭔가 만들어 먹고 싶네 조금!,kitchen,indirect
351,혹시 간단하게 해결할 게 없나 왠지 해야겠다,kitchen,ambiguous
352,음 거실로 안내해 약간 같은데,living room,direct
353,혹시 TV 보고 싶다 조금 해야겠다,living room,indirect
354,잠깐 머리 식히고 싶네 왠지 해야겠다,living room,ambiguous
355,혹시 침실로 데려다줘 약간 싶네,bedroom,direct
356,오늘 이불 덮고 싶어 조금.,bedroom,indirect
357,혹시 좀 숨고 싶다 ㅠㅠ,bedroom,ambiguous
358,혹시 트레이닝 공간으로 가 약간 좀,exercise,direct
359,좀 몸이 찌뿌둥하다 약간.,exercise,indirect
360,좀 활력이 필요하다 왠지 좀,exercise,ambiguous
361,음 요리하는 공간으로 가줘 같은데,kitchen,direct
362,오늘 목이 좀 마른데 왠지 같은데,kitchen,indirect
363,좀 괜히 돌아다니고 싶다 진짜 해야겠다,kitchen,ambiguous
364,아 소파 앞으로 가 약간.,living room,direct
365,음 소파에 눕고 싶다 조금 ㅠㅠ,living room,indirect
366,오늘 너무 피곤하다 진짜!,living room,ambiguous
367,음 조용한 방으로 가줘 약간 좀,bedroom,direct
368,좀 쉬면서 자고 싶어 왠지!,bedroom,indirect
369,아 생각 정리 좀 하고 싶네 왠지 해야겠다,bedroom,ambiguous
370,트레이닝 공간으로 가 조금 좀,exercise,direct
371,오늘 땀 좀 흘리고 싶다.,exercise,indirect
372,리프레시하고 싶네 조금.,exercise,ambiguous
373,음 부엌에 가고 싶어 왠지 ㅠㅠ,kitchen,direct
374,갑자기 배가 좀 고프네 왠지,kitchen,indirect
375,좀 뭔가 하고 싶네 조금 같은데,kitchen,ambiguous
376,오늘 거실로 데려다줘 조금!,living room,direct
377,혹시 편한 분위기가 좋다 약간 해야겠다,living room,indirect
378,혹시 잠깐 머리 식히고 싶네!,living room,ambiguous
379,오늘 잠잘 곳으로 안내해 왠지 해야겠다,bedroom,direct
380,지금 너무 졸리다 조금,bedroom,indirect
381,갑자기 좀 숨고 싶다 약간 같은데,bedroom,ambiguous
382,지금 운동방으로 안내해 조금 같은데,exercise,direct
383,운동 안 한 지 오래됐다!,exercise,indirect
384,좀 에너지가 부족한 느낌이야 약간 같은데,exercise,ambiguous
385,갑자기 주방 쪽으로 안내해 조금 ㅠㅠ,kitchen,direct
386,갑자기 컵라면이라도 먹을까 왠지 같은데,kitchen,indirect
387,지금 가볍게 뭐라도 하고 싶다 진짜 해야겠다,kitchen,ambiguous
388,음 거실로 가줘 진짜!,living room,direct
389,좀 편한 분위기가 좋다 진짜.,living room,indirect
390,좀 기분 전환이 필요하다.,living room,ambiguous
391,갑자기 방으로 가고 싶어 조금!,bedroom,direct
392,음 쉬면서 자고 싶어 약간 같은데,bedroom,indirect
393,오늘 혼자 있고 싶네 싶네,bedroom,ambiguous
394,갑자기 운동하러 가자 약간 ㅠㅠ,exercise,direct
395,혹시 몸 좀 움직이고 싶다 왠지!,exercise,indirect
396,기분 전환이 필요해!,exercise,ambiguous
397,혹시 부엌으로 이동해 조금,kitchen,direct
398,혹시 뭔가 만들어 먹고 싶네 진짜 싶네,kitchen,indirect
399,아 기분 전환 좀 할까 조금,kitchen,ambiguous
400,오늘 TV 있는 데로 이동해 약간.,living room,direct
401,음 드라마 보고 싶다 왠지.,living room,indirect
402,음 오늘 너무 피곤하다 조금!,living room,ambiguous
403,오늘 침실로 데려다줘 진짜,bedroom,direct
404,혹시 너무 졸리다!,bedroom,indirect
405,오늘 오늘은 아무것도 하기 싫다 약간 ㅠㅠ,bedroom,ambiguous
406,음 트레이닝 공간으로 가 조금,exercise,direct
407,갑자기 몸이 찌뿌둥하다 왠지 해야겠다,exercise,indirect
408,좀 가만히 있기 싫다!,exercise,ambiguous
409,갑자기 요리하는 공간으로 가줘 약간.,kitchen,direct
410,오늘 커피 한잔 하고 싶다 조금 ㅠㅠ,kitchen,indirect
411,지금 가볍게 뭐라도 하고 싶다 조금!,kitchen,ambiguous
412,음 거실로 안내해 싶네,living room,direct
413,갑자기 좀 쉬고 싶네 왠지 좀,living room,indirect
414,지금 오늘은 늘어지고 싶다 조금 해야겠다,living room,ambiguous
415,음 조용한 방으로 가줘 왠지 같은데,bedroom,direct
416,아 너무 졸리다 진짜 싶네,bedroom,indirect
417,갑자기 조용한 분위기가 좋다 왠지 좀,bedroom,ambiguous
418,지금 스트레칭할 공간으로 가고 싶어 왠지 해야겠다,exercise,direct
419,갑자기 너무 오래 앉아 있었네 조금 싶네,exercise,indirect
420,좀 답답해서 움직이고 싶다 조금 ㅠㅠ,exercise,ambiguous
421,음 주방 쪽으로 안내해 약간 같은데,kitchen,direct
422,오늘 커피 한잔 하고 싶다 해야겠다,kitchen,indirect
423,갑자기 뭔가 하고 싶네 조금,kitchen,ambiguous
424,갑자기 거실로 가줘 좀,living room,direct
425,오늘 좀 쉬고 싶네 왠지!,living room,indirect
426,아 느긋하게 있고 싶어 조금!,living room,ambiguous
427,아 침대 있는 방으로 이동해 왠지.,bedroom,direct
